freq_hz,level_db
51.066,-1.95
58.284,-1.35
64.359,-0.72
70.289,-0.42
71.855,-0.21
74.27,-0.15
134.644,-0.15
150.326,0.15
156.236,0.12
173.474,-0.15
199.087,-0.15
246.8,0.15
296,0.18
332.301,-0.12
360.924,-0.21
362.918,-0.24
364.923,-0.6
545.559,-0.48
557.714,-0.54
876.161,-0.66
1205.979,-0.6
1260.313,-0.39
1267.275,-0.24
1331.686,-0.09
1414.874,-0.21
1430.548,-0.36
1915.564,-1.38
2080.568,-1.38
2247.37,-1.17
2550.93,-0.39
2565.021,-0.24
2579.19,-0.21
2832.39,0.12
2992.792,0.21
3025.946,0.36
3059.468,0.39
3076.368,0.27
3127.63,0.21
3250.586,-0.21
3304.751,-0.3
3323.006,-0.45
3511.192,-0.99
4119.386,-1.83
4675.806,-1.41
4806.381,-1.14
4886.47,-0.87
4913.462,-0.63
4940.602,-0.54
4995.335,-0.18
5134.833,0.18
5925.531,0.21
5991.174,0.36
7265.141,1.05
7890.948,0.63
8022.435,0.75
8201.166,1.2
8337.822,1.35
9308.925,1.05
9890.433,1.08
10222.789,0.99
10624.678,0.69
11226.367,0.39
11288.379,0.24
11862.13,0.03
12126.405,-0.15
12533.897,-0.24
12603.132,-0.39
12813.138,-0.51
15283.067,-1.62
16969.345,-1.74
17443.225,-2.13
