freq_hz,level_db
36.443,-12.91
37.128,-12.75
38.001,-12.42
46.632,-8.57
47.952,-8.13
48.626,-7.8
48.853,-7.8
49.539,-7.47
49.77,-7.47
50.47,-7.14
50.705,-7.14
51.418,-6.81
51.657,-6.81
53.119,-6.26
53.367,-6.26
53.866,-6.04
60.509,-4.23
61.933,-3.9
62.221,-3.9
63.39,-3.57
65.488,-3.24
66.1,-3.02
67.029,-2.91
68.606,-2.58
71.207,-2.25
71.873,-2.09
73.907,-1.87
74.252,-1.76
78.514,-1.32
78.881,-1.21
80.737,-1.1
81.113,-0.99
83.409,-0.88
85.372,-0.66
88.197,-0.55
89.022,-0.44
99.536,-0.05
105.25,-0.05
105.741,0
1707.353,0
1715.313,0.05
1909.009,0.05
1981.389,0.16
2018.601,0.11
2124.578,0.16
2194.897,0.27
2320.901,0.27
2386.59,0.38
2500.229,0.38
2582.981,0.49
2874.656,0.6
3025.576,0.77
3053.856,0.71
3125.716,0.82
3244.226,0.82
3320.566,0.93
3430.469,0.93
3511.192,1.04
3800.126,1.15
4151.278,1.43
4369.221,1.48
4953.926,1.81
5046.965,1.92
5141.752,1.92
5238.319,2.03
5802.783,2.31
6079.087,2.53
6193.258,2.53
6280.291,2.64
6702.898,2.86
7022.062,3.08
7087.695,3.19
7187.298,3.19
7390.722,3.41
7494.583,3.41
7564.633,3.52
7670.938,3.52
7998.901,3.74
8073.665,3.85
8187.123,3.85
8985.357,4.29
9069.342,4.4
9196.792,4.4
10574.076,5
11878.114,5.33
12328.467,5.33
12795.896,5.44
13784.593,5.44
14240.832,5.33
14712.171,5.33
16146.59,4.95
16221.873,4.84
16603.591,4.73
16681.005,4.62
16994.29,4.51
17803.486,3.9
17886.495,3.9
18307.383,3.52
18738.174,3.02
18913.316,2.91
19999.084,1.43
