freq_hz,level_db
41.618,-14.94
41.856,-14.81
45.847,-14.06
46.109,-13.94
47.171,-13.81
47.44,-13.69
48.532,-13.56
48.809,-13.44
55.007,-12.44
55.321,-12.31
56.595,-12.19
56.918,-12.06
58.229,-11.94
58.562,-11.81
64.146,-11.06
64.512,-10.94
65.998,-10.81
66.375,-10.69
69.864,-10.31
70.263,-10.19
72.704,-9.94
73.119,-9.81
76.091,-9.56
79.185,-9.19
90.776,-8.19
100,-7.38
112.058,-6.63
113.341,-6.63
117.279,-6.38
118.622,-6.38
119.98,-6.25
121.354,-6.25
122.744,-6.13
124.149,-6.13
125.57,-6
131.421,-5.81
139.119,-5.5
140.712,-5.38
142.323,-5.38
143.953,-5.25
145.601,-5.25
150.66,-5
156.784,-4.88
158.58,-4.75
160.395,-4.75
162.232,-4.63
165.026,-4.63
166.916,-4.5
170.76,-4.5
172.715,-4.38
176.693,-4.38
178.716,-4.25
183.876,-4.25
187.043,-4.13
194.646,-4.13
197.999,-4
209.597,-4
211.997,-3.88
226.984,-3.88
230.893,-3.75
250.047,-3.75
254.354,-3.63
340.032,-3.63
347.864,-3.5
403.354,-3.5
410.301,-3.38
454.571,-3.38
462.401,-3.25
506.493,-3.25
512.292,-3.13
557.957,-3.13
564.346,-3
600.813,-3
607.692,-2.88
650.654,-2.88
658.103,-2.75
708.651,-2.75
720.857,-2.63
785.113,-2.63
798.635,-2.5
900.046,-2.5
915.548,-2.38
2507.6,-2.38
2521.916,-2.44
2715.62,-2.38
2746.713,-2.25
2809.973,-2.25
2842.147,-2.13
2891.1,-2.13
2924.202,-2
2957.684,-2
3371.414,-1.13
3887.02,0.06
3909.21,0.19
3999.243,0.31
4022.073,0.44
4331.002,1.06
4405.599,1.31
4558.669,1.56
4584.693,1.69
4610.865,1.69
4743.986,2.06
4853.244,2.19
4936.836,2.38
5021.868,2.38
5108.364,2.5
5255.848,2.5
5346.374,2.38
5532.131,2.38
5627.416,2.25
5724.342,2.25
5822.938,2.13
6059.649,2
6129.031,1.88
6234.597,1.88
6305.983,1.75
6378.186,1.75
6599.793,1.5
6675.36,1.5
6907.292,1.25
7311.89,1
7395.611,0.88
7522.992,0.88
7609.13,0.75
7873.505,0.75
7963.656,0.63
8526.656,0.63
8624.285,0.75
8974.875,0.75
9077.637,0.88
10057.087,0.88
11205.823,0.31
11595.164,-0.13
11794.878,-0.44
11998.032,-0.94
12135.408,-1.38
12344.427,-2.25
12485.77,-2.94
12628.731,-3.38
12773.328,-4
12846.247,-4.13
12919.582,-4.38
12993.335,-4.5
13292.583,-5.31
13368.466,-5.44
14232.318,-7.75
14477.455,-8.5
14560.101,-8.63
14895.434,-9.63
14980.467,-9.75
15412.968,-11
15678.44,-11.63
15948.484,-12.44
