freq_hz,level_db
50.758,-3.05
51.664,-3.11
60.58,-1.72
62.393,-1.52
63.506,-1.56
67.364,-0.66
68.971,-0.73
71.455,-0.46
71.878,-0.33
79.456,0.26
79.926,0.36
83.787,0.7
85.282,0.66
91.535,1.49
93.169,1.39
113.182,2.55
115.202,2.62
116.569,2.55
126.6,3.25
127.348,3.15
128.859,3.15
153.794,3.84
161.223,3.97
163.135,3.87
179.276,4.17
208.979,4.17
231.013,4.01
232.379,4.07
255.37,3.77
261.465,3.77
295.931,3.44
325.21,3.11
329.068,3.21
357.386,2.58
363.764,2.72
409.294,2.22
452.449,1.69
460.524,1.79
503.112,1.09
546.407,0.63
593.427,0.33
604.018,0.2
712.448,0.03
