freq_hz,level_db
54.802,5.93
55.78,5.83
66.182,6.99
68.566,7.19
69.379,7.12
74.907,7.95
76.243,7.85
93.169,9.11
95.392,9.04
102.387,9.9
104.214,9.74
105.45,9.77
112.517,10.17
115.202,10.2
116.569,10.33
128.102,10.83
131.159,10.79
142.446,11.46
143.288,11.36
144.988,11.36
161.223,11.79
182.475,12.12
201.715,12.12
202.908,12.19
222.983,12.12
258.4,11.72
261.465,11.79
283.965,11.16
287.334,11.26
295.931,11.16
332.972,10.5
338.914,10.36
340.918,10.23
347.003,10.2
355.284,10.03
361.625,10.07
385.858,9.21
390.435,9.27
399.754,9.21
471.515,7.81
477.109,7.75
488.495,7.81
518.166,6.85
527.413,6.89
536.826,6.75
629.471,5.36
648.306,5.4
687.682,4.47
695.84,4.54
708.259,4.47
787.566,3.68
860.397,3.11
870.604,3.21
939.964,2.42
956.74,2.48
1082.857,1.75
1162.254,1.42
1189.992,1.39
1204.109,1.52
