freq_hz,level_db
54.48,-12.88
55.452,-12.85
68.971,-10.36
69.789,-10.3
72.73,-9.83
74.466,-9.7
74.907,-9.57
77.148,-9.24
94.832,-7.28
111.855,-5.89
119.351,-5.43
120.056,-5.33
150.209,-3.81
176.132,-2.95
201.715,-2.38
253.869,-1.79
325.21,-1.39
388.14,-1.26
392.745,-1.19
424.034,-1.19
429.064,-1.13
477.109,-1.13
485.623,-1.06
611.183,-1.06
712.448,-0.66
716.661,-0.63
720.899,-0.36
896.654,-0.1
973.815,0.13
985.367,0.36
991.194,0.4
1032.962,0.33
1039.071,0.43
1108.701,0.46
1211.23,0.73
1300.039,0.73
1315.461,0.83
1370.894,0.73
1840.962,0.79
1884.899,0.86
2184.281,0.86
2210.193,0.93
2669.171,0.99
2765.294,1.06
3038.886,1.42
4129.306,3.01
4564.687,3.38
4757.039,3.44
5105.833,3.21
5384.11,2.72
5512.61,2.45
5813.057,1.69
6313.295,0.33
6540.651,0.03
6816.269,0.36
7534.955,2.22
7852.472,2.68
8329.417,2.78
8578.645,2.65
8993.014,2.65
9316.873,2.81
10000,3.34
10607.382,3.34
11119.743,2.88
11520.191,2.42
12437.993,1.09
12962.121,0.53
13038.778,0.36
13193.454,0.26
13749.416,-0.36
13912.523,-0.46
13994.8,-0.63
14844.819,-1.59
15470.368,-2.35
