freq_hz,level_db
20.203,-5.54
23.987,-5.51
25.485,-5.32
30.876,-5.22
31.506,-5.13
33.644,-5.1
34.504,-5
37.979,-4.94
44.639,-4.68
45.092,-4.58
46.714,-4.55
48.151,-4.42
62.927,-3.85
63.566,-3.75
69.966,-3.56
78.583,-3.17
98.631,-2.72
100.643,-2.6
106.93,-2.47
123.17,-1.96
150.738,-1.63
173.631,-1.12
185.411,-1.09
212.494,-0.71
235.074,-0.64
258.745,-0.42
269.411,-0.42
270.775,-0.38
272.146,-0.19
422.271,-0.26
450.921,-0.22
457.804,-0.13
793.806,0.03
1891.939,0
1920.818,-0.06
2497.59,-0.13
3647.497,-0.13
4441.414,0.16
4532.034,0.29
5115.932,0.48
5141.83,0.54
5688.233,0.58
5892.889,0.71
6135.813,0.74
6229.469,0.83
7359.011,1.15
7433.707,1.25
7740.149,1.38
8182.238,1.44
8349.184,1.54
9377.404,1.57
9863.078,1.54
10966.425,1.25
12070.68,0.74
12954.883,0.42
13152.625,0.42
13694.819,0.16
14116.083,0.13
14772.4,-0.1
17717.336,-0.38
19799.035,-0.42
